Stock|Price $|Colour|Variation %|Period
a|100|1|0|1
b|100|1|0|1
c|100|1|0|1
d|100|1|0|1
e|100|1|0|1
f|100|1|0|1
a|101|1|1|2
b|99|1|-1|2
c|101|1|1|2
d|101|1|1|2
e|99|1|-1|2
f|98|1|-2|2
a|101|1|0|3
b|99|1|0|3
c|103.02|1|2|3
d|102.01|1|1|3
e|98.01|1|-1|3
f|95.06|1|-3|3
a|99.99|1|-1|4
b|99.99|1|1|4
c|106.11|1|3|4
d|103.03|1|1|4
e|97.03|1|-1|4
f|91.26|1|-4|4
a|99.99|1|0|5
b|99.99|1|0|5
c|110.36|1|4|5
d|104.06|1|1|5
e|96.06|1|-1|5
f|86.69|1|-5|5
a|100.99|1|1|6
b|98.99|1|-1|6
c|115.87|1|5|6
d|105.1|1|1|6
e|95.1|1|-1|6
f|81.49|1|-6|6
a|100.99|1|0|7
b|98.99|1|0|7
c|122.83|1|6|7
d|106.15|1|1|7
e|94.15|1|-1|7
f|75.79|1|-7|7
a|99.98|1|-1|8
b|99.98|1|1|8
c|131.42|1|7|8
d|107.21|1|1|8
e|93.21|1|-1|8
f|69.73|1|-8|8
a|99.98|1|0|9
b|99.98|1|0|9
c|141.94|1|8|9
d|108.29|1|1|9
e|92.27|1|-1|9
f|63.45|1|-9|9
a|100.98|1|1|10
b|98.98|1|-1|10
c|154.71|1|9|10
d|109.37|1|1|10
e|91.35|1|-1|10
f|57.11|1|-10|10
a|103|1|2|11
b|98.98|1|0|11
c|170.18|1|10|11
d|111.56|1|2|11
e|91.35|1|0|11
f|51.97|1|-9|11
a|105.06|1|2|12
b|98.98|1|0|12
c|187.2|1|10|12
d|113.79|1|2|12
e|91.35|1|0|12
f|47.29|1|-9|12
a|107.16|1|2|13
b|98.98|1|0|13
c|205.92|1|10|13
d|116.06|1|2|13
e|91.35|1|0|13
f|43.03|1|-9|13
a|109.3|1|2|14
b|98.98|1|0|14
c|226.51|1|10|14
d|118.38|1|2|14
e|91.35|1|0|14
f|39.16|1|-9|14
a|111.49|1|2|15
b|98.98|1|0|15
c|249.16|1|10|15
d|120.75|1|2|15
e|91.35|1|0|15
f|35.64|1|-9|15
a|113.72|1|2|16
b|98.98|1|0|16
c|274.08|1|10|16
d|123.17|1|2|16
e|91.35|1|0|16
f|32.43|1|-9|16
a|115.99|1|2|17
b|98.98|1|0|17
c|301.49|1|10|17
d|125.63|1|2|17
e|91.35|1|0|17
f|29.51|1|-9|17
a|118.31|1|2|18
b|98.98|1|0|18
c|331.64|1|10|18
d|128.14|1|2|18
e|91.35|1|0|18
f|26.85|1|-9|18
a|120.68|1|2|19
b|98.98|1|0|19
c|364.8|1|10|19
d|130.71|1|2|19
e|91.35|1|0|19
f|24.44|1|-9|19
a|123.09|1|2|20
b|98.98|1|0|20
c|401.28|1|10|20
d|133.32|1|2|20
e|91.35|1|0|20
f|22.24|1|-9|20
a|125.56|1|2|21
b|98.98|1|0|21
c|441.41|1|10|21
d|135.99|1|2|21
e|91.35|1|0|21
f|20.24|1|-9|21
a|128.07|1|2|22
b|98.98|1|0|22
c|485.55|1|10|22
d|138.71|1|2|22
e|91.35|1|0|22
f|18.42|1|-9|22
a|130.63|1|2|23
b|98.98|1|0|23
c|534.1|1|10|23
d|141.48|1|2|23
e|91.35|1|0|23
f|16.76|1|-9|23
a|133.24|1|2|24
b|98.98|1|0|24
c|587.51|1|10|24
d|144.31|1|2|24
e|91.35|1|0|24
f|15.25|1|-9|24
a|135.91|1|2|25
b|98.98|1|0|25
c|646.27|1|10|25
d|147.2|1|2|25
e|91.35|1|0|25
f|13.88|1|-9|25
a|138.62|1|2|26
b|98.98|1|0|26
c|710.89|1|10|26
d|150.14|1|2|26
e|91.35|1|0|26
f|12.63|1|-9|26
a|141.4|1|2|27
b|98.98|1|0|27
c|781.98|1|10|27
d|153.14|1|2|27
e|91.35|1|0|27
f|11.49|1|-9|27
a|144.22|1|2|28
b|98.98|1|0|28
c|860.18|1|10|28
d|156.21|1|2|28
e|91.35|1|0|28
f|10.46|1|-9|28
a|147.11|1|2|29
b|98.98|1|0|29
c|946.2|1|10|29
d|159.33|1|2|29
e|91.35|1|0|29
f|9.52|1|-9|29
a|150.05|1|2|30
b|98.98|1|0|30
c|1040.82|1|10|30
d|162.52|1|2|30
e|91.35|1|0|30
f|8.66|1|-9|30
a|153.05|1|2|31
b|98.98|1|0|31
c|1144.9|1|10|31
d|165.77|1|2|31
e|91.35|1|0|31
f|7.88|1|-9|31
a|156.11|1|2|32
b|98.98|1|0|32
c|1259.39|1|10|32
d|169.08|1|2|32
e|91.35|1|0|32
f|7.17|1|-9|32
a|159.23|1|2|33
b|98.98|1|0|33
c|1385.33|1|10|33
d|172.46|1|2|33
e|91.35|1|0|33
f|6.53|1|-9|33
a|162.42|1|2|34
b|98.98|1|0|34
c|1523.86|1|10|34
d|175.91|1|2|34
e|91.35|1|0|34
f|5.94|1|-9|34
a|165.67|1|2|35
b|98.98|1|0|35
c|1676.25|1|10|35
d|179.43|1|2|35
e|91.35|1|0|35
f|5.4|1|-9|35
a|168.98|1|2|36
b|98.98|1|0|36
c|1843.87|1|10|36
d|183.02|1|2|36
e|91.35|1|0|36
f|4.92|1|-9|36
a|172.36|1|2|37
b|98.98|1|0|37
c|2028.26|1|10|37
d|186.68|1|2|37
e|91.35|1|0|37
f|4.47|1|-9|37
a|175.81|1|2|38
b|98.98|1|0|38
c|2231.09|1|10|38
d|190.41|1|2|38
e|91.35|1|0|38
f|4.07|1|-9|38
a|179.32|1|2|39
b|98.98|1|0|39
c|2454.2|1|10|39
d|194.22|1|2|39
e|91.35|1|0|39
f|3.71|1|-9|39
a|182.91|1|2|40
b|98.98|1|0|40
c|2699.62|1|10|40
d|198.11|1|2|40
e|91.35|1|0|40
f|3.37|1|-9|40
