Ativo|Preco $|Cor|Variacao %|Periodo
a|86|1|0|1
b|70|1|0|1
c|90|1|0|1
d|61|1|0|1
e|93|1|0|1
f|84|1|0|1
a|81|1|-5|2
b|71|1|1|2
c|93|1|3|2
d|64|1|5|2
e|94|1|1|2
f|85|1|1|2
a|82|1|1|3
b|67|1|-5|3
c|98|1|5|3
d|67|1|5|3
e|97|1|3|3
f|87|1|3|3
a|85|1|3|4
b|70|1|3|4
c|97|1|-1|4
d|70|1|5|4
e|102|1|5|4
f|86|1|-1|4
a|89|1|5|5
b|72|1|3|5
c|102|1|5|5
d|68|1|-3|5
e|97|1|-5|5
f|82|1|-5|5
a|88|1|-1|6
b|75|1|5|6
c|103|1|1|6
d|68|1|-1|6
e|101|1|5|6
f|86|1|5|6
a|91|1|3|7
b|76|1|1|7
c|100|1|-3|7
d|70|1|3|7
e|106|1|5|7
f|82|1|-5|7
a|92|1|1|8
b|78|1|3|8
c|97|1|-3|8
d|72|1|3|8
e|101|1|-5|8
f|81|1|-1|8
a|91|1|-1|9
b|79|1|1|9
c|92|1|-5|9
d|68|1|-5|9
e|100|1|-1|9
f|77|1|-5|9
a|93|1|3|10
b|75|1|-5|10
c|96|1|5|10
d|70|1|3|10
e|103|1|3|10
f|76|1|-1|10
 

