Ativo|Preco $|Cor|Variacao %|Periodo
A|86|1|0|0
B|70|1|0|0
C|90|1|0|0
D|61|1|0|0
E|93|1|0|0
F|84|1|0|0
A|90|1|5|1
B|71|1|1|1
C|88|1|-3|1
D|64|1|5|1
E|94|1|1|1
F|85|1|1|1
A|91|1|1|2
B|75|1|5|2
C|92|1|5|2
D|67|1|5|2
E|91|1|-3|2
F|87|1|3|2
A|88|1|-3|3
B|77|1|3|3
C|93|1|1|3
D|70|1|5|3
E|96|1|5|3
F|86|1|-1|3
A|93|1|5|4
B|75|1|-3|4
C|98|1|5|4
D|68|1|-3|4
E|100|1|5|4
F|82|1|-5|4
A|93|1|1|5
B|71|1|-5|5
C|97|1|-1|5
D|69|1|1|5
E|106|1|5|5
F|86|1|5|5
A|91|1|-3|6
B|72|1|1|6
C|100|1|3|6
D|71|1|3|6
E|111|1|5|6
F|82|1|-5|6
A|90|1|-1|7
B|74|1|3|7
C|103|1|3|7
D|69|1|-3|7
E|116|1|5|7
F|81|1|-1|7
A|89|1|-1|8
B|73|1|-1|8
C|97|1|-5|8
D|65|1|-5|8
E|117|1|1|8
F|77|1|-5|8
A|92|1|3|9
B|77|1|5|9
C|102|1|5|9
D|67|1|3|9
E|114|1|-3|9
F|76|1|-1|9
A|87|1|-5|10
B|73|1|-5|10
C|105|1|3|10
D|65|1|-3|10
E|108|1|-5|10
F|77|1|1|10
A|90|1|3|11
B|75|1|3|11
C|109|1|3|11
D|66|1|1|11
E|114|1|5|11
F|73|1|-5|11
A|92|1|3|12
B|73|1|-3|12
C|105|1|-3|12
D|67|1|1|12
E|113|1|-1|12
F|71|1|-3|12
A|95|1|3|13
B|76|1|5|13
C|100|1|-5|13
D|65|1|-3|13
E|118|1|5|13
F|73|1|3|13
A|92|1|-3|14
B|72|1|-5|14
C|101|1|1|14
D|64|1|-1|14
E|117|1|-1|14
F|71|1|-3|14
A|91|1|-1|15
B|76|1|5|15
C|104|1|3|15
D|62|1|-3|15
E|111|1|-5|15
F|73|1|3|15
A|92|1|1|16
B|77|1|1|16
C|107|1|3|16
D|60|1|-3|16
E|117|1|5|16
F|69|1|-5|16
A|91|1|-1|17
B|76|1|-1|17
C|104|1|-3|17
D|61|1|1|17
E|120|1|3|17
F|69|1|-1|17
A|92|1|1|18
B|77|1|1|18
C|105|1|1|18
D|64|1|5|18
E|126|1|5|18
F|68|1|-1|18
A|95|1|3|19
B|75|1|-3|19
C|106|1|1|19
D|67|1|5|19
E|127|1|1|19
F|69|1|1|19
A|98|1|3|20
B|78|1|5|20
C|105|1|-1|20
D|64|1|-5|20
E|129|1|1|20
F|71|1|3|20
A|101|1|3|21
B|79|1|1|21
C|106|1|1|21
D|62|1|-3|21
E|130|1|1|21
F|67|1|-5|21
A|100|1|-1|22
B|78|1|-1|22
C|109|1|3|22
D|64|1|3|22
E|137|1|5|22
F|66|1|-1|22
A|99|1|-1|23
B|76|1|-3|23
C|110|1|1|23
D|64|1|1|23
E|130|1|-5|23
F|66|1|-1|23
A|100|1|1|24
B|74|1|-3|24
C|105|1|-5|24
D|64|1|-1|24
E|131|1|1|24
F|66|1|1|24
A|105|1|5|25
B|74|1|1|25
C|108|1|3|25
D|67|1|5|25
E|132|1|1|25
F|66|1|-1|25
A|99|1|-5|26
B|72|1|-3|26
C|105|1|-3|26
D|70|1|5|26
E|136|1|3|26
F|68|1|3|26
A|94|1|-5|27
B|69|1|-5|27
C|106|1|1|27
D|68|1|-3|27
E|132|1|-3|27
F|68|1|1|27
A|90|1|-5|28
B|72|1|5|28
C|103|1|-3|28
D|66|1|-3|28
E|126|1|-5|28
F|65|1|-5|28
A|94|1|5|29
B|74|1|3|29
C|106|1|3|29
D|68|1|3|29
E|124|1|-1|29
F|63|1|-3|29
A|90|1|-5|30
B|76|1|3|30
C|111|1|5|30
D|67|1|-1|30
E|126|1|1|30
F|65|1|3|30
A|92|1|3|31
B|76|1|-1|31
C|105|1|-5|31
D|69|1|3|31
E|127|1|1|31
F|66|1|1|31
A|97|1|5|32
B|79|1|5|32
C|106|1|1|32
D|70|1|1|32
E|128|1|1|32
F|67|1|3|32
A|98|1|1|33
B|77|1|-3|33
C|112|1|5|33
D|72|1|3|33
E|132|1|3|33
F|64|1|-5|33
A|95|1|-3|34
B|79|1|3|34
C|113|1|1|34
D|69|1|-5|34
E|136|1|3|34
F|63|1|-1|34
A|98|1|3|35
B|77|1|-3|35
C|114|1|1|35
D|71|1|3|35
E|137|1|1|35
F|60|1|-5|35
A|103|1|5|36
B|76|1|-1|36
C|117|1|3|36
D|74|1|5|36
E|144|1|5|36
F|57|1|-5|36
A|104|1|1|37
B|77|1|1|37
C|119|1|1|37
D|76|1|3|37
E|146|1|1|37
F|54|1|-5|37
A|98|1|-5|38
B|79|1|3|38
C|120|1|1|38
D|76|1|-1|38
E|141|1|-3|38
F|52|1|-5|38
A|94|1|-5|39
B|83|1|5|39
C|121|1|1|39
D|78|1|3|39
E|148|1|5|39
F|54|1|5|39
A|89|1|-5|40
B|79|1|-5|40
C|120|1|-1|40
D|77|1|-1|40
E|156|1|5|40
F|54|1|-1|40
A|84|1|-5|41
B|75|1|-5|41
C|121|1|1|41
D|78|1|1|41
E|151|1|-3|41
F|52|1|-3|41
A|89|1|5|42
B|79|1|5|42
C|127|1|5|42
D|79|1|1|42
E|152|1|1|42
F|52|1|-1|42
A|89|1|1|43
B|81|1|3|43
C|128|1|1|43
D|78|1|-1|43
E|151|1|-1|43
F|54|1|5|43
A|90|1|1|44
B|85|1|5|44
C|127|1|-1|44
D|77|1|-1|44
E|143|1|-5|44
F|51|1|-5|44
A|89|1|-1|45
B|86|1|1|45
C|131|1|3|45
D|78|1|1|45
E|136|1|-5|45
F|53|1|3|45
A|85|1|-5|46
B|90|1|5|46
C|124|1|-5|46
D|82|1|5|46
E|132|1|-3|46
F|51|1|-3|46
A|86|1|1|47
B|95|1|5|47
C|128|1|3|47
D|79|1|-3|47
E|133|1|1|47
F|49|1|-5|47
A|85|1|-1|48
B|92|1|-3|48
C|127|1|-1|48
D|82|1|3|48
E|137|1|3|48
F|51|1|5|48
A|82|1|-3|49
B|89|1|-3|49
C|123|1|-3|49
D|86|1|5|49
E|142|1|3|49
F|50|1|-3|49
