Ativo|Preco $|Cor|Variacao %|Periodo
a|100|1|0|1
b|100|1|0|1
c|100|1|0|1
d|100|1|0|1
e|100|1|0|1
f|100|1|0|1
a|101|1|1|2
b|99|1|-1|2
c|101|1|1|2
d|101|1|1|2
e|99|1|-1|2
f|98|1|-2|2
a|101|1|0|3
b|99|1|0|3
c|103.02|1|2|3
d|102.01|1|1|3
e|98.01|1|-1|3
f|95.06|1|-3|3
a|99.99|1|-1|4
b|99.99|1|1|4
c|106.11|1|3|4
d|103.03|1|1|4
e|97.03|1|-1|4
f|91.26|1|-4|4
a|99.99|1|0|5
b|99.99|1|0|5
c|110.36|1|4|5
d|104.06|1|1|5
e|96.06|1|-1|5
f|86.69|1|-5|5
a|100.99|1|1|6
b|98.99|1|-1|6
c|115.87|1|5|6
d|105.1|1|1|6
e|95.1|1|-1|6
f|81.49|1|-6|6
a|100.99|1|0|7
b|98.99|1|0|7
c|122.83|1|6|7
d|106.15|1|1|7
e|94.15|1|-1|7
f|75.79|1|-7|7
a|99.98|1|-1|8
b|99.98|1|1|8
c|131.42|1|7|8
d|107.21|1|1|8
e|93.21|1|-1|8
f|69.73|1|-8|8
a|99.98|1|0|9
b|99.98|1|0|9
c|141.94|1|8|9
d|108.29|1|1|9
e|92.27|1|-1|9
f|63.45|1|-9|9
a|100.98|1|1|10
b|98.98|1|-1|10
c|154.71|1|9|10
d|109.37|1|1|10
e|91.35|1|-1|10
f|57.11|1|-10|10
